11.11.11.112:ActiveConn,11.11.11.112:InActConn,11.11.11.113:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight
0,5,0,87,3,99
0,5,0,87,3,99
0,5,0,87,3,99
0,5,1,87,3,93
0,5,1,99,3,93
0,5,2,99,4,98
0,5,2,99,4,98
2,5,0,53,6,98
2,5,2,53,6,98
2,6,2,53,6,98
1,7,2,53,6,99
1,7,0,53,8,99
0,8,0,2,8,99
0,8,0,2,8,99
0,8,0,2,8,86
0,8,0,98,8,86
0,8,0,98,8,86
0,8,0,98,8,99
0,8,0,99,8,99
0,8,0,99,8,99
0,8,0,99,8,99
0,8,0,99,8,99
0,8,1,99,8,99
0,10,1,99,8,99
2,8,0,99,9,99
2,8,0,99,9,99
3,10,1,24,9,99
2,11,1,24,10,26
1,12,0,50,11,26
1,12,0,50,11,1
0,13,0,50,11,1
0,13,0,3,11,1
0,13,0,3,11,52
0,13,0,3,11,52
0,13,0,98,11,52
0,13,0,98,11,99
0,13,0,98,11,99
0,13,0,99,11,99
0,13,1,99,11,99
0,13,1,99,11,99
2,13,1,99,11,99
2,13,1,99,11,99
0,15,0,99,12,99
0,15,1,99,12,99
1,15,1,51,12,99
2,15,2,51,12,99
2,15,2,51,13,99
2,15,2,51,13,99
1,16,2,51,13,99
0,17,0,51,15,99
0,17,0,1,15,99
0,17,0,1,15,99
0,17,0,1,15,99
0,17,0,1,15,99
0,17,0,1,15,99
0,17,0,99,15,99
0,17,0,99,15,99
0,17,0,99,15,99
0,17,0,99,15,99
0,17,0,99,15,99
0,17,1,99,15,99
0,17,1,99,15,99
0,17,2,99,16,99
0,17,2,86,16,99
1,17,0,86,18,99
2,17,2,86,18,99
1,19,2,97,18,99
2,18,1,97,19,99
1,19,0,97,20,99
0,20,0,97,20,74
0,20,0,97,20,74
0,20,0,96,20,74
0,20,0,96,20,74
0,20,0,96,20,74
0,20,0,96,20,99
0,20,0,96,20,99
0,20,0,99,20,99
0,20,0,99,20,99
0,20,0,99,20,99
0,20,0,99,20,99
0,20,0,99,20,99
0,20,1,99,20,99
0,20,1,99,20,99
2,20,0,12,21,99
2,20,0,12,21,99
1,22,1,12,21,99
3,22,1,12,21,46
3,22,1,99,22,46
0,25,0,99,23,46
0,25,0,99,23,1
0,25,0,96,23,1
0,25,0,96,23,1
0,25,0,96,23,99
0,25,0,96,23,99
0,25,0,96,23,99
0,25,0,99,23,99
0,25,0,99,23,99
0,25,0,99,23,99
0,25,0,99,23,99
0,25,0,99,23,99
0,25,0,99,23,99
0,25,1,99,23,99
0,25,0,99,24,99
1,25,1,99,24,93
1,25,1,99,24,93
0,26,1,95,25,93
2,26,1,95,26,3
1,27,2,95,26,3
1,27,2,44,26,3
1,27,1,44,27,3
0,28,0,44,28,1
0,28,0,44,28,1
0,28,0,46,28,1
0,28,0,46,28,1
0,28,0,46,28,98
0,28,0,46,28,98
0,28,0,46,28,98
0,28,0,99,28,98
0,28,0,99,28,98
0,28,0,99,28,99
0,28,0,99,28,99
0,28,0,99,28,99
0,28,0,99,28,99
0,28,1,99,28,99
0,28,0,99,29,99
1,28,0,99,29,99
1,28,1,99,29,99
1,29,0,99,30,99
1,29,1,98,30,99
2,30,1,98,30,99
2,30,1,98,31,50
2,30,1,98,31,50
1,31,1,98,31,50
0,32,0,1,32,50
0,32,0,1,32,50
0,32,0,1,32,50
0,32,0,1,32,43
0,32,0,99,32,43
0,32,0,99,32,43
0,32,0,99,32,99
0,32,0,99,32,99
0,32,0,51,32,99
0,32,0,51,32,99
0,32,0,51,32,99
0,32,0,51,32,99
0,32,0,99,32,99
0,32,1,99,32,99
0,32,1,99,32,99
0,32,1,99,32,76
0,32,0,99,33,76
0,32,2,62,33,76
0,32,2,62,33,76
0,32,2,62,33,99
2,32,1,14,33,99
2,32,1,14,34,99
2,32,1,14,33,99
1,33,0,14,34,49
1,33,0,6,34,49
0,34,0,6,33,49
0,31,0,6,33,49
0,31,0,6,33,49
0,31,0,6,33,97
0,31,0,6,33,97
0,31,0,99,33,97
0,31,0,99,33,78
0,31,0,99,33,78
0,31,0,99,33,78
0,31,0,99,33,78
0,31,0,99,33,99
0,31,0,99,33,99
1,31,0,99,33,99
1,31,0,99,33,99
0,32,0,99,33,99
1,32,1,99,33,99
1,32,1,99,32,46
1,33,1,24,33,46
3,33,1,24,33,46
3,33,1,24,33,46
2,34,1,24,31,74
2,34,0,24,32,74
2,33,0,48,31,74
2,33,0,48,31,74
0,34,0,48,30,1
0,34,0,48,30,1
0,34,0,99,30,1
0,34,0,99,30,96
0,34,0,99,30,96
0,34,0,99,30,96
0,34,0,99,30,96
0,34,0,99,30,99
0,34,0,99,30,99
0,34,1,99,30,99
2,34,0,99,31,99
2,34,0,99,30,99
2,34,0,8,30,99
