11.11.11.112:ActiveConn,11.11.11.112:InActConn,11.11.11.113:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight
0,0,1,99,0,24
0,1,1,81,0,24
0,1,1,81,0,24
1,1,1,81,1,99
3,0,2,74,1,99
3,0,2,74,2,99
2,1,2,74,3,99
2,1,1,74,4,3
1,2,0,74,5,3
1,2,0,1,5,3
0,3,0,1,5,3
1,3,0,1,5,3
1,3,1,1,5,3
2,4,1,1,5,1
1,5,2,99,6,1
1,5,2,99,7,1
0,6,2,99,7,1
0,6,2,99,8,1
0,6,1,99,9,1
0,6,1,1,9,1
0,6,0,1,10,1
1,6,0,1,10,95
1,6,1,92,10,95
2,7,1,92,10,99
3,7,2,92,10,99
1,10,0,99,12,99
0,11,1,99,12,1
0,11,1,95,12,1
0,11,0,95,13,1
0,11,0,95,13,1
1,11,0,95,13,96
1,11,0,95,13,96
1,12,1,95,13,96
2,12,1,95,13,96
1,13,2,98,14,96
1,14,3,98,14,48
0,15,1,98,16,48
0,15,1,25,16,48
0,15,1,25,16,48
1,15,0,25,17,99
1,15,1,25,17,99
1,15,1,97,17,99
2,16,1,97,17,99
2,16,1,97,17,99
0,18,2,97,18,49
1,18,2,97,18,49
1,18,1,87,20,49
0,19,1,87,20,49
0,19,1,87,20,49
0,19,0,87,21,11
0,19,0,87,21,11
0,19,0,50,21,11
0,19,1,50,21,11
1,19,1,50,21,11
2,19,0,50,23,99
3,19,1,50,22,99
4,19,1,22,22,99
3,20,0,22,23,99
3,20,1,22,23,99
2,21,2,22,23,6
1,22,1,22,24,6
0,23,1,72,24,6
0,23,0,72,25,1
0,23,1,72,25,1
0,23,3,99,26,1
2,23,3,99,26,98
3,23,2,1,27,98
2,24,2,1,27,98
1,25,2,1,27,98
2,25,2,1,27,12
0,27,0,1,29,12
0,27,0,1,29,1
0,27,0,1,29,1
1,27,1,98,29,1
0,28,2,98,30,1
0,28,2,98,31,1
0,28,4,98,30,24
1,28,3,1,31,24
2,28,2,1,32,24
0,30,1,1,33,99
0,30,0,1,34,99
0,30,0,1,34,99
0,30,0,50,34,99
1,30,0,50,34,99
1,30,1,50,34,99
2,30,1,50,34,97
2,31,1,50,34,97
