11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight
1,6,5,0,1,1,5,1,1
1,6,5,2,1,1,5,1,1
1,6,6,2,1,1,6,1,1
1,7,6,1,1,1,7,1,1
1,8,6,0,2,1,6,1,1
0,8,7,0,1,1,7,1,1
0,8,7,0,1,1,7,1,1
0,8,7,0,1,1,7,1,1
0,8,7,0,1,1,7,1,1
0,8,7,0,0,1,8,1,1
1,8,7,0,0,1,8,1,1
1,8,7,0,0,1,8,1,1
0,8,8,1,0,1,8,1,1
0,8,8,1,1,1,8,1,1
2,8,8,1,1,1,8,1,1
2,8,8,1,1,1,8,1,1
2,9,8,1,1,1,8,1,1
0,10,10,1,1,1,9,1,1
0,10,10,1,0,1,10,1,1
0,11,10,0,0,1,10,1,1
0,11,10,0,0,1,10,1,1
0,11,10,0,1,1,10,1,1
1,11,10,0,0,1,11,1,1
