11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight
0,20,22,1,0,97,22,99,99
1,21,22,0,0,97,22,99,99
1,21,22,0,0,99,22,99,99
1,21,22,0,0,99,22,99,99
0,20,23,0,0,99,21,99,89
0,20,23,0,0,99,21,1,89
0,20,23,0,0,12,21,1,89
0,20,23,0,0,12,21,1,89
0,20,23,0,0,12,21,1,89
0,20,23,0,0,12,21,1,99
0,20,23,0,0,12,21,1,99
0,20,23,1,0,12,21,1,99
0,20,23,1,1,12,21,1,99
1,20,23,1,0,12,22,99,99
0,20,23,0,0,62,22,99,99
1,20,23,1,0,62,22,99,99
1,20,22,1,0,62,22,99,99
1,21,23,0,0,62,21,99,99
1,21,23,0,0,62,21,1,99
0,20,24,0,0,62,21,1,99
0,20,24,1,0,99,21,1,99
0,20,24,1,0,99,20,1,99
0,20,24,1,1,99,20,1,99
0,21,24,0,1,99,20,99,99
0,21,24,0,1,99,20,99,99
0,20,24,0,0,99,21,99,99
0,20,23,0,0,99,21,99,99
0,20,23,0,0,99,21,99,99
0,20,23,0,0,99,21,99,99
0,20,23,0,0,99,21,99,99
0,20,23,0,0,99,21,99,99
0,20,23,0,0,99,21,99,99
0,20,23,1,0,99,21,99,99
0,20,23,1,1,99,21,99,94
0,20,23,1,1,99,21,99,94
1,21,23,0,1,99,21,99,94
1,21,24,1,0,74,21,99,94
1,20,23,1,0,74,21,99,94
1,21,23,0,1,74,21,99,98
1,21,22,0,1,74,21,99,98
0,20,23,0,0,74,21,9,98
0,20,23,1,0,74,21,9,98
0,20,23,1,0,78,21,9,98
0,21,23,0,1,78,21,9,98
0,21,23,0,1,78,21,9,99
0,21,23,0,0,78,21,9,99
0,20,23,0,0,78,21,99,99
0,20,23,0,0,78,21,99,99
0,20,23,0,0,78,21,99,99
0,20,23,0,0,68,21,99,99
0,20,23,0,0,68,21,99,99
0,20,23,0,0,68,21,99,99
0,20,23,1,0,74,21,99,99
1,20,23,1,0,74,21,99,99
1,21,23,1,0,74,20,99,99
1,21,23,1,0,74,20,99,99
0,22,23,1,1,74,20,49,99
0,22,23,1,1,99,20,49,99
1,23,22,0,0,99,21,49,99
1,22,22,0,0,99,20,49,50
0,22,23,0,0,99,20,49,50
0,22,22,0,1,99,20,45,50
0,22,22,0,1,99,20,45,50
0,22,22,1,0,99,21,45,50
0,23,22,0,0,99,21,45,50
0,22,22,0,0,99,21,45,99
0,22,22,0,0,99,20,99,99
0,22,22,0,0,99,20,99,99
0,22,22,0,0,99,20,99,99
0,22,22,0,0,99,20,99,99
0,22,22,0,0,99,20,99,99
0,22,22,0,0,99,20,99,99
0,22,22,0,0,99,20,99,99
0,23,22,0,1,99,20,99,99
1,22,21,1,1,99,20,99,99
1,23,21,0,1,99,20,99,99
1,24,21,0,1,99,20,99,99
1,23,21,1,0,75,21,99,99
1,23,21,1,0,75,21,99,99
1,23,21,0,0,75,20,99,99
1,23,21,0,0,75,20,99,99
0,23,21,0,0,75,20,99,99
0,23,21,1,0,75,20,41,99
0,23,21,1,0,99,20,41,99
0,23,21,1,0,99,20,41,99
0,24,20,0,1,99,19,41,94
0,24,20,0,0,99,20,41,94
0,24,20,0,0,99,20,99,94
0,24,20,0,0,99,20,99,94
0,24,20,0,0,50,20,99,94
0,24,20,0,0,50,20,99,94
0,24,20,0,0,50,20,99,94
0,24,20,0,0,50,20,99,94
