scheme,numSubscribers,in (kbps),in (mbps),in (krps)
baseerat,64,72852.35,71.144873046875,178.55968137254902
baseerat,64,74234.81,72.494931640625,181.9480637254902
baseerat,64,76680.21,74.883017578125,187.9416911764706
baseerat,64,76732.36,74.9339453125,188.06950980392156
baseerat,64,75717.48,73.9428515625,185.5820588235294
baseerat,64,74138.25,72.400634765625,181.71139705882354
baseerat,64,76675.27,74.878193359375,187.92958333333334
baseerat,64,75420.58,73.65291015625,184.85436274509803
baseerat,64,75822.02,74.04494140625,185.8382843137255
baseerat,64,74915.53,73.159697265625,183.61649509803922
baseerat,64,76917.2,75.114453125,188.52254901960782
baseerat,64,75556.61,73.785751953125,185.18776960784314
baseerat,64,71106.7,69.44013671875,174.2811274509804
baseerat,64,70445.35,68.794287109375,172.66017156862748
baseerat,64,70994.02,69.33009765625,174.00495098039218
baseerat,64,72063.58,70.37458984375,176.62642156862745
baseerat,64,67594.12,66.0098828125,165.67186274509803
baseerat,64,76721.28,74.923125,188.04235294117646
baseerat,64,74687.55,72.937060546875,183.0577205882353
baseerat,64,74703.85,72.952978515625,183.09767156862748
baseerat,64,65031.86,63.50767578125,159.3918137254902
baseerat,64,77901.24,76.0754296875,190.93441176470589
baseerat,64,77764.81,75.942197265625,190.60002450980392
baseerat,64,78185.0,76.3525390625,191.6299019607843
baseerat,64,78068.4,76.238671875,191.34411764705882
baseerat,64,62516.63,61.051396484375,153.22703431372548
baseerat,64,54193.76,52.92359375,132.82784313725492
baseerat,2,70018.67,68.377607421875,171.61438725490197
baseerat,2,74757.92,73.00578125,183.23019607843136
baseerat,2,65731.66,64.19107421875,161.10700980392158
baseerat,2,74384.28,72.6408984375,182.31441176470588
baseerat,2,74302.27,72.560810546875,182.1134068627451
baseerat,2,71430.34,69.75619140625,175.07436274509803
baseerat,2,76365.3,74.57548828125,187.1698529411765
baseerat,2,73619.7,71.89423828125,180.44044117647059
baseerat,2,73609.96,71.8847265625,180.416568627451
baseerat,2,71972.32,70.28546875,176.40274509803922
baseerat,2,68716.76,67.1062109375,168.423431372549
baseerat,2,72001.39,70.313857421875,176.4739950980392
baseerat,2,66664.88,65.102421875,163.3943137254902
baseerat,2,74238.2,72.4982421875,181.9563725490196
baseerat,2,73654.26,71.92798828125,180.5251470588235
baseerat,2,71003.22,69.33908203125,174.0275
baseerat,2,74056.59,72.320888671875,181.51125
baseerat,2,73223.54,71.50736328125,179.4694607843137
baseerat,2,72560.01,70.859384765625,177.84316176470588
baseerat,2,64653.76,63.1384375,158.4650980392157
baseerat,2,72244.05,70.550830078125,177.06875
baseerat,2,72116.98,70.42673828125,176.75730392156862
baseerat,2,75266.5,73.50244140625,184.4767156862745
baseerat,2,74390.18,72.64666015625,182.3288725490196
baseerat,2,75313.72,73.5485546875,184.59245098039216
baseerat,2,75673.57,73.899970703125,185.47443627450983
baseerat,2,74312.72,72.571015625,182.13901960784315
baseerat,2,74813.09,73.059658203125,183.36541666666665
baseerat,2,74456.86,72.71177734375,182.49230392156863
baseerat,2,72131.23,70.440654296875,176.79223039215685
baseerat,2,67174.83,65.600419921875,164.6441911764706
baseerat,2,74667.56,72.9175390625,183.00872549019607
baseerat,2,70770.48,69.111796875,173.4570588235294
baseerat,2,70361.45,68.712353515625,172.45453431372547
baseerat,2,73949.94,72.21673828125,181.24985294117647
baseerat,2,71384.02,69.71095703125,174.96083333333334
baseerat,2,57870.21,56.513876953125,141.83875
baseerat,2,50506.58,49.32283203125,123.79063725490197
unicast,16,1101.21,1.075400390625,2.699044117647059
unicast,16,1226.97,1.198212890625,3.007279411764706
unicast,16,1766.64,1.725234375,4.33
unicast,16,1400.09,1.367275390625,3.4315931372549016
unicast,16,1597.11,1.559677734375,3.9144852941176467
unicast,16,1280.32,1.2503125,3.138039215686274
unicast,16,1597.9,1.56044921875,3.916421568627451
unicast,16,1201.53,1.173369140625,2.944926470588235
unicast,16,1450.27,1.416279296875,3.5545833333333334
unicast,16,846.91,0.827060546875,2.0757598039215686
unicast,16,2018.95,1.971630859375,4.948406862745098
unicast,16,1479.71,1.445029296875,3.6267401960784316
unicast,16,1258.01,1.228525390625,3.083357843137255
unicast,16,1700.56,1.660703125,4.1680392156862744
unicast,16,1699.79,1.659951171875,4.166151960784314
unicast,16,1139.03,1.112333984375,2.791740196078431
unicast,16,1435.54,1.40189453125,3.518480392156863
unicast,16,1802.04,1.7598046875,4.416764705882353
unicast,16,1723.65,1.683251953125,4.2246323529411764
unicast,16,1136.63,1.109990234375,2.785857843137255
unicast,16,1492.07,1.457099609375,3.65703431372549
unicast,16,1398.46,1.36568359375,3.4275980392156864
unicast,16,1316.94,1.28607421875,3.227794117647059
unicast,16,1271.13,1.241337890625,3.115514705882353
unicast,16,1857.78,1.81423828125,4.553382352941177
unicast,16,1430.72,1.3971875,3.506666666666667
unicast,16,1566.85,1.530126953125,3.84031862745098
unicast,16,1583.87,1.546748046875,3.88203431372549
unicast,16,1456.2,1.4220703125,3.5691176470588237
unicast,16,1334.0,1.302734375,3.269607843137255
unicast,16,1686.53,1.647001953125,4.133651960784314
unicast,16,1612.59,1.574794921875,3.952426470588235
unicast,16,1372.64,1.34046875,3.3643137254901965
unicast,128,181.48,0.1772265625,0.4448039215686274
unicast,128,210.53,0.205595703125,0.5160049019607843
unicast,128,207.75,0.202880859375,0.5091911764705882
unicast,128,198.59,0.193935546875,0.4867401960784314
unicast,128,182.28,0.1780078125,0.44676470588235295
unicast,128,180.29,0.176064453125,0.4418872549019608
unicast,128,202.97,0.198212890625,0.49747549019607845
